Region,Year,LPI,LPI_upper,LPI_lower
World,2010,31.09998,36.781594,26.105030000000003
World,2011,29.6028,35.115495,24.766229
World,2012,28.667074,34.080818,23.899113
World,2013,28.413123,33.846164,23.625319
World,2014,28.503707,34.032404,23.654816
World,2015,28.567332,34.192625,23.687129
World,2016,27.78848,33.389944,22.978655
World,2017,27.36987,33.070899999999995,22.494209
World,2018,27.097133,32.97694,22.094297
World,2019,27.327448,33.41134,22.170989
World,2020,27.134067,33.27644,21.972492
